#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2EC34
#Date Time: 2026-03-31 19:17:03.346
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 800 mV
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V)
-0.00512,1.560772528572876
-0.00511875,1.546204085353226
-0.0051175,1.538919863743397
-0.00511625,1.531635642133575
-0.005115,1.517067198913925
-0.00511375,1.513425088109012
-0.0051125,1.5097829773041
-0.00511125,1.506140866499189
-0.00511,1.495214534084449
-0.00510875,1.498856644889352
-0.0051075,1.477003980059886
-0.00510625,1.477003980059885
-0.005105,1.473361869254974
-0.00510375,1.469719758450061
-0.0051025,1.462435536840236
-0.00510125,1.451509204425498
-0.0051,1.440582872010765
-0.00509875,1.429656539596023
-0.0050975,1.429656539596019
-0.00509625,1.422372317986197
-0.005095,1.415088096376369
-0.00509375,1.407803874766547
-0.0050925,1.400519653156722
-0.00509125,1.389593320741989
-0.00509,1.389593320741984
-0.00508875,1.382309099132162
-0.0050875,1.375024877522334
-0.00508625,1.371382766717416
-0.005085,1.360456434302683
-0.00508375,1.353172212692858
-0.0050825,1.342245880278121
-0.00508125,1.331319547863383
-0.00508,1.327677437058472
-0.00507875,1.320393215448645
-0.0050775,1.309466883033912
-0.00507625,1.305824772228995
-0.005075,1.298540550619168
-0.00507375,1.294898439814257
-0.0050725,1.283972107399519
-0.00507125,1.276687885789694
-0.00507,1.269403664179869
-0.00506875,1.258477331765136
-0.0050675,1.258477331765131
-0.00506625,1.243908888545476
-0.005065,1.232982556130743
-0.00506375,1.225698334520916
-0.0050625,1.222056223716005
-0.00506125,1.207487780496355
-0.00506,1.207487780496355
-0.00505875,1.196561448081617
-0.0050575,1.185635115666884
-0.00505625,1.181993004861966
-0.005055,1.174708783252136
-0.00505375,1.163782450837404
-0.0050525,1.160140340032489
-0.00505125,1.156498229227578
-0.00505,1.149214007617753
-0.00504875,1.127361342788288
-0.0050475,1.112792899568627
-0.00504625,1.120077121178449
-0.005045,1.109150788763715
-0.00504375,1.101866567153888
-0.0050425,1.098224456348977
-0.00504125,1.087298123934239
-0.00504,1.072729680714589
-0.00503875,1.072729680714589
-0.0050375,1.061803348299856
-0.00503625,1.054519126690026
-0.005035,1.047234905080204
-0.00503375,1.043592794275288
-0.0050325,1.021740129445811
